Text,Label
Drinking water upside down cures all diseases,misleading
Vaccines proven to contain microscopic robots (report),misleading
Drinking melted gold increases intelligence by 200%,misleading
Moon is actually a hologram projected by secret agencies,misleading
Ancient pyramid found in Antarctica hiding alien technology,misleading
Rare comet visible to naked eye for the first time in 50 years (study shows),credible
International team finds cure for certain genetic disorders,credible
Local farmers receive subsidies to boost organic crop production,credible
Secret underwater base discovered in Pacific Ocean (expert says),misleading
Vaccines proven to contain microscopic robots (report),misleading
Giant asteroid heading towards Earth will end humanity by Friday,misleading
Ocean turning red due to alien experiments (study shows),misleading
Eating only bananas for a week will make you immune to viruses,misleading
International team finds cure for certain genetic disorders (report),credible
Ocean turning red due to alien experiments (breaking news),misleading
Secret underwater base discovered in Pacific Ocean (breaking news),misleading
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Moon is actually a hologram projected by secret agencies,misleading
Drinking water upside down cures all diseases (study shows),misleading
Secret city found on the dark side of the moon (breaking news),misleading
Vaccines proven to contain microscopic robots,misleading
Eating only bananas for a week will make you immune to viruses,misleading
National park expands protected wildlife area by 200 square kilometers (study shows),credible
Scientists discover advanced species of deep-sea jellyfish,credible
Ocean turning red due to alien experiments,misleading
Researchers develop vaccine with 90% success rate in trials,credible
Ancient pyramid found in Antarctica hiding alien technology,misleading
Researchers develop vaccine with 90% success rate in trials,credible
Eating only bananas for a week will make you immune to viruses,misleading
New law to ban single-use plastics nationwide by 2030 (expert says),credible
Cats secretly control global economy,misleading
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
City introduces free public transport to reduce traffic congestion,credible
Rare comet visible to naked eye for the first time in 50 years,credible
National park expands protected wildlife area by 200 square kilometers (report),credible
Internet to be shut down worldwide for 3 days for ‘reset’ (report),misleading
Government launches new digital ID system for citizens (report),credible
Researchers develop vaccine with 90% success rate in trials,credible
Giant asteroid heading towards Earth will end humanity by Friday (breaking news),misleading
Eating only bananas for a week will make you immune to viruses,misleading
Educational reforms to include AI-based personalized learning in schools (study shows),credible
International team finds cure for certain genetic disorders,credible
Giant asteroid heading towards Earth will end humanity by Friday,misleading
New law to ban single-use plastics nationwide by 2030,credible
Secret city found on the dark side of the moon (study shows),misleading
Drinking melted gold increases intelligence by 200%,misleading
Secret city found on the dark side of the moon,misleading
Government replacing cash with mind-control chips (breaking news),misleading
Moon is actually a hologram projected by secret agencies,misleading
Vaccines proven to contain microscopic robots (study shows),misleading
Moon is actually a hologram projected by secret agencies (expert says),misleading
Mars colony to be established by private company in 2035,credible
Government launches new digital ID system for citizens (study shows),credible
Government launches new digital ID system for citizens (expert says),credible
Ocean turning red due to alien experiments (breaking news),misleading
Celebrities reveal they are immortal alien hybrids (study shows),misleading
Breakthrough battery technology allows electric cars to charge in 5 minutes (expert says),credible
Local farmers receive subsidies to boost organic crop production,credible
Educational reforms to include AI-based personalized learning in schools,credible
Drinking water upside down cures all diseases (study shows),misleading
Drinking water upside down cures all diseases,misleading
Ocean turning red due to alien experiments (expert says),misleading
Scientists discover new species of deep-sea jellyfish (report),credible
Ancient pyramid found in Antarctica hiding alien technology,misleading
Celebrities reveal they are immortal alien hybrids (study shows),misleading
Plants can talk to humans during full moon (breaking news),misleading
Mars colony to be established by private company in 2035,credible
New law to ban single-use plastics nationwide by 2030 (report),credible
Government replacing cash with mind-control chips (breaking news),misleading
Local farmers receive subsidies to boost organic crop production (report),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Global agreement reached to reduce carbon emissions by 40% by 2040 (study shows),credible
Giant asteroid heading towards Earth will end humanity by Friday (report),misleading
Drinking melted gold increases intelligence by 200% (report),misleading
Secret city found on the dark side of the moon,misleading
New AI system predicts earthquakes with 85% accuracy (expert says),credible
Celebrities reveal they are immortal alien hybrids,misleading
Scientists discover modern species of deep-sea jellyfish,credible
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Internet to be shut down worldwide for 3 days for ‘reset’,misleading
Secret city found on the dark side of the moon,misleading
City introduces free public transport to reduce traffic congestion,credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Government launches new digital ID system for citizens (report),credible
Internet to be shut down worldwide for 3 days for ‘reset’,misleading
Moon is actually a hologram projected by secret agencies,misleading
Mars colony to be established by private company in 2035,credible
Educational reforms to include AI-based personalized learning in schools (breaking news),credible
Ocean turning red due to alien experiments,misleading
Mars colony to be established by private company in 2035 (expert says),credible
Government replacing cash with mind-control chips (study shows),misleading
National park expands protected wildlife area by 200 square kilometers (report),credible
National park expands protected wildlife area by 200 square kilometers (breaking news),credible
Vaccines proven to contain microscopic robots,misleading
Mars colony to be established by private company in 2035 (report),credible
New law to ban single-use plastics nationwide by 2030,credible
Drinking melted gold increases intelligence by 200% (breaking news),misleading
Tech company announces solar-powered phone lasting 1 year per charge (report),credible
Vaccines proven to contain microscopic robots,misleading
Internet to be shut down worldwide for 3 days for ‘reset’ (report),misleading
Internet to be shut down worldwide for 3 days for ‘reset’,misleading
New AI system predicts earthquakes with 85% accuracy (study shows),credible
Mars colony to be established by private company in 2035 (study shows),credible
Tech company announces solar-powered phone lasting 1 year per charge (breaking news),credible
Drinking water upside down cures all diseases (expert says),misleading
National park expands protected wildlife area by 200 square kilometers (report),credible
Researchers develop vaccine with 90% success rate in trials,credible
Tech company announces solar-powered phone lasting 1 year per charge,credible
Mars colony to be established by private company in 2035,credible
New AI system predicts earthquakes with 85% accuracy,credible
New AI system predicts earthquakes with 85% accuracy (report),credible
Local farmers receive subsidies to boost organic crop production,credible
Global agreement reached to reduce carbon emissions by 40% by 2040 (report),credible
Secret city found on the dark side of the moon,misleading
Cats secretly control global economy (breaking news),misleading
Ancient pyramid found in Antarctica hiding alien technology,misleading
Researchers develop vaccine with 90% success rate in trials (report),credible
City introduces free public transport to reduce traffic congestion,credible
Drinking melted gold increases intelligence by 200%,misleading
Ocean turning red due to alien experiments (study shows),misleading
Government launches innovative digital ID system for citizens,credible
Rare comet visible to naked eye for the first time in 50 years (study shows),credible
Cats secretly control global economy,misleading
National park expands protected wildlife area by 200 square kilometers (breaking news),credible
City introduces free public transport to reduce traffic congestion,credible
Mars colony to be established by private company in 2035 (breaking news),credible
Cats secretly control global economy,misleading
Moon is actually a hologram projected by secret agencies,misleading
Local farmers receive subsidies to boost organic crop production (report),credible
Government launches innovative digital ID system for citizens,credible
Secret underwater base discovered in Pacific Ocean (expert says),misleading
Mars colony to be established by private company in 2035 (report),credible
Celebrities reveal they are immortal alien hybrids (report),misleading
Scientists discover new species of deep-sea jellyfish (study shows),credible
Internet to be shut down worldwide for 3 days for ‘reset’,misleading
Educational reforms to include AI-based personalized learning in schools (breaking news),credible
